somay,distance,may0,may1,may2,may3,reward
2,0.2886688012785054,0.0,0.0,1.3443869225605396,0.0,0.9804419578603334
2,0.2886688012785054,0.0,0.0,0.8952202558938729,0.0,1
2,0.2886688012785054,0.0,0.0,1.4468869225605396,0.0,0.9079142755411195
2,0.2886688012785054,0.0,0.0,0.7089061491901758,0.0,1
2,0.2886688012785054,0.0,0.0,1.2622394825235093,0.0,1
0,0,0.22166666666666668,0.0,1.2622394825235093,0.0,1
0,0,0.44366666666666665,0.0,1.2622394825235093,0.0,1
0,0,0.6663333333333333,0.0,1.2622394825235093,0.0,1
0,0,0.8893333333333333,0.0,1.2622394825235093,0.0,1
2,0.2886688012785054,0.0,0.0,0.821406149190176,0.0,1
2,0.2886688012785054,0.0,0.0,1.3822394825235094,0.0,0.9683836635124821
2,0.2886688012785054,0.0,0.0,0.9430728158568427,0.0,1
2,0.2886688012785054,0.0,0.0,1.506406149190176,0.0,0.8823302847981693
0,0,0.22533333333333333,0.0,1.506406149190176,0.0,1
2,0.2886688012785054,0.0,0.0,1.0730728158568426,0.0,1
2,0.2886688012785054,0.0,0.0,0.7256191061737245,0.0,1
2,0.2886688012785054,0.0,0.0,1.2931191061737244,0.0,1
0,0,0.22833333333333333,0.0,1.2931191061737244,0.0,1
0,0,0.45699999999999996,0.0,1.2931191061737244,0.0,1
2,0.2886688012785054,0.0,0.0,0.864785772840391,0.0,1
2,0.2886688012785054,0.0,0.0,1.4364524395070577,0.0,0.9540925456955466
2,0.2886688012785054,0.0,0.0,1.0097857728403912,0.0,1
2,0.2886688012785054,0.0,0.0,1.5847857728403911,0.0,0.8495328186220711
0,0,0.23033333333333333,0.0,1.5847857728403911,0.0,1
0,0,0.46099999999999997,0.0,1.5847857728403911,0.0,1
2,0.2886688012785054,0.0,0.0,1.162285772840391,0.0,1
0,0,0.23166666666666666,0.0,1.162285772840391,0.0,1
0,0,0.4633333333333333,0.0,1.162285772840391,0.0,1
2,0.2886688012785054,0.0,0.0,0.7431191061737243,0.0,1
2,0.2886688012785054,0.0,0.0,0.7413242260996636,0.0,1
2,0.2886688012785054,0.0,0.0,1.324657559432997,0.0,1
0,0,0.23366666666666666,0.0,1.324657559432997,0.0,1
0,0,0.4673333333333333,0.0,1.324657559432997,0.0,1
2,0.2886688012785054,0.0,0.0,0.909657559432997,0.0,1
2,0.2886688012785054,0.0,0.0,1.494657559432997,0.0,0.9357423026562303
0,0,0.23433333333333334,0.0,1.494657559432997,0.0,1
2,0.2886688012785054,0.0,0.0,1.087157559432997,0.0,1
0,0,0.238,0.0,1.087157559432997,0.0,1
0,0,0.47633333333333333,0.0,1.087157559432997,0.0,1
0,0,0.715,0.0,1.087157559432997,0.0,1
2,0.2886688012785054,0.0,0.0,0.761502282338357,0.0,1
2,0.2886688012785054,0.0,0.0,1.361502282338357,0.0,1
0,0,0.24033333333333334,0.0,1.361502282338357,0.0,1
2,0.2886688012785054,0.0,0.0,0.9623356156716902,0.0,1
2,0.2886688012785054,0.0,0.0,1.564002282338357,0.0,0.8986772557385758
0,0,0.24166666666666667,0.0,1.564002282338357,0.0,1
0,0,0.4836666666666667,0.0,1.564002282338357,0.0,1
2,0.2886688012785054,0.0,0.0,1.171502282338357,0.0,1
0,0,0.24333333333333335,0.0,1.171502282338357,0.0,1
0,0,0.487,0.0,1.171502282338357,0.0,1
0,0,0.7313333333333334,0.0,1.171502282338357,0.0,1
0,0,0.9766666666666667,0.0,1.171502282338357,0.0,1
2,0.2886688012785054,0.0,0.0,0.7856689490050236,0.0,1
2,0.2886688012785054,0.0,0.0,0.7815485726552391,0.0,1
2,0.2886688012785054,0.0,0.0,1.3990485726552393,0.0,1
0,0,0.24766666666666667,0.0,1.3990485726552393,0.0,1
0,0,0.49533333333333335,0.0,1.3990485726552393,0.0,1
0,0,0.7433333333333334,0.0,1.3990485726552393,0.0,1
2,0.2886688012785054,0.0,0.0,1.0198819059885726,0.0,1
2,0.2886688012785054,0.0,0.0,1.6423819059885727,0.0,0.8717650883077319
0,0,0.24933333333333332,0.0,1.6423819059885727,0.0,1
2,0.2886688012785054,0.0,0.0,1.2673819059885727,0.0,1
0,0,0.251,0.0,1.2673819059885727,0.0,1
0,0,0.502,0.0,1.2673819059885727,0.0,1
0,0,0.753,0.0,1.2673819059885727,0.0,1
0,0,1.0046666666666666,0.0,1.2673819059885727,0.0,1
2,0.2886688012785054,0.004666666666666597,0.0,0.8973819059885727,0.0,1
2,0.2886688012785054,0.0,0.0,0.796858394815744,0.0,1
2,0.2886688012785054,0.0,0.0,1.4276917281490773,0.0,1
0,0,0.253,0.0,1.4276917281490773,0.0,1
2,0.2886688012785054,0.0,0.0,1.0601917281490771,0.0,1
2,0.2886688012785054,0.0,0.0,1.692691728149077,0.0,0.8694053039665136
0,0,0.25366666666666665,0.0,1.692691728149077,0.0,1
0,0,0.5076666666666667,0.0,1.692691728149077,0.0,1
2,0.2886688012785054,0.0,0.0,1.327691728149077,0.0,1
2,0.2886688012785054,0.0,0.0,0.962691728149077,0.0,1
2,0.2886688012785054,0.0,0.0,1.5985250614824102,0.0,0.9419921897013092
0,0,0.25433333333333336,0.0,1.5985250614824102,0.0,1
0,0,0.5093333333333334,0.0,1.5985250614824102,0.0,1
0,0,0.7653333333333334,0.0,1.5985250614824102,0.0,1
2,0.2886688012785054,0.0,0.0,1.2385250614824104,0.0,1
0,0,0.256,0.0,1.2385250614824104,0.0,1
0,0,0.5126666666666666,0.0,1.2385250614824104,0.0,1
2,0.2886688012785054,0.0,0.0,0.8801917281490771,0.0,1
2,0.2886688012785054,0.0,0.0,1.5235250614824105,0.0,1
0,0,0.258,0.0,1.5235250614824105,0.0,1
0,0,0.5166666666666666,0.0,1.5235250614824105,0.0,1
2,0.2886688012785054,0.0,0.0,1.1710250614824105,0.0,1
0,0,0.259,0.0,1.1710250614824105,0.0,1
2,0.2886688012785054,0.0,0.0,0.8193583948157438,0.0,1
